지점번호,지점명,일시,평균기온(℃),평균습도(%rh)
21133,광주,2021-09-01,24.5,97.4
21133,광주,2021-09-02,21.6,98.4
21133,광주,2021-09-03,22.4,94.1
21133,광주,2021-09-04,23.4,88.6
21133,광주,2021-09-05,21.6,91.1
21133,광주,2021-09-06,21.2,93.3
21133,광주,2021-09-07,22.4,94.4
21133,광주,2021-09-08,22.7,84.4
21133,광주,2021-09-09,23.1,84.5
21133,광주,2021-09-10,23.1,93
21133,광주,2021-09-11,24.9,83.9
21133,광주,2021-09-12,24.8,83.3
21133,광주,2021-09-13,24.2,69.8
21133,광주,2021-09-14,22.5,85.1
21133,광주,2021-09-15,24.1,64.1
21133,광주,2021-09-16,21.3,82.5
21133,광주,2021-09-17,23.2,86.5
21133,광주,2021-09-18,23.3,81.8
21133,광주,2021-09-19,23.5,77.1
21133,광주,2021-09-20,23.9,78.6
21133,광주,2021-09-21,22.5,92.9
21133,광주,2021-09-22,23.2,84.8
21133,광주,2021-09-23,21.5,72.6
21133,광주,2021-09-24,20.9,76.6
21133,광주,2021-09-25,21.9,79.8
21133,광주,2021-09-26,22.2,78
21133,광주,2021-09-27,23,73.8
21133,광주,2021-09-28,22.7,83.8
21133,광주,2021-09-29,22.7,97.8
21133,광주,2021-09-30,23.5,67.9
20278,세종,2021-09-01,23.1,89.8
20278,세종,2021-09-02,22.9,74.1
20278,세종,2021-09-03,23.2,65.8
20278,세종,2021-09-04,22.8,64.1
20278,세종,2021-09-05,21.7,71.6
20278,세종,2021-09-06,20.5,82.3
20278,세종,2021-09-07,20.6,91.1
20278,세종,2021-09-08,21.8,77.8
20278,세종,2021-09-09,21.6,81.8
20278,세종,2021-09-10,22.5,83.3
20278,세종,2021-09-11,22.9,81
20278,세종,2021-09-12,22.8,84.1
20278,세종,2021-09-13,23.7,68.4
20278,세종,2021-09-14,22.4,63.9
20278,세종,2021-09-15,22.9,58.1
20278,세종,2021-09-16,22.3,64
20278,세종,2021-09-17,19.9,87.1
20278,세종,2021-09-18,21.8,71.4
20278,세종,2021-09-19,22.3,70.1
20278,세종,2021-09-20,23,67.8
20278,세종,2021-09-21,22.1,82.4
20278,세종,2021-09-22,21.4,73.3
20278,세종,2021-09-23,19.9,71
20278,세종,2021-09-24,20.6,70.1
20278,세종,2021-09-25,20.8,72.4
20278,세종,2021-09-26,21,65.9
20278,세종,2021-09-27,21.6,64.9
20278,세종,2021-09-28,21.1,78.5
20278,세종,2021-09-29,21,94.8
20278,세종,2021-09-30,21,78.8
20261,수원,2021-09-01,21.4,91
20261,수원,2021-09-02,23.4,75.4
20261,수원,2021-09-03,24.7,64.5
20261,수원,2021-09-04,23.7,59.6
20261,수원,2021-09-05,22.9,64.5
20261,수원,2021-09-06,21.7,76
20261,수원,2021-09-07,20.6,99.8
20261,수원,2021-09-08,21.9,86.1
20261,수원,2021-09-09,22.9,83
20261,수원,2021-09-10,23.5,86.1
20261,수원,2021-09-11,23.8,81.1
20261,수원,2021-09-12,23.8,78
20261,수원,2021-09-13,25,69.5
20261,수원,2021-09-14,23.9,65.1
20261,수원,2021-09-15,23.8,58.8
20261,수원,2021-09-16,23,62.4
20261,수원,2021-09-17,23.7,63.1
20261,수원,2021-09-18,22.9,73.3
20261,수원,2021-09-19,23.5,74.3
20261,수원,2021-09-20,23.8,67
20261,수원,2021-09-21,22.6,88.4
20261,수원,2021-09-22,20.4,81.5
20261,수원,2021-09-23,20.1,74.1
20261,수원,2021-09-24,22,69.4
20261,수원,2021-09-25,21.6,73
20261,수원,2021-09-26,22.8,64.4
20261,수원,2021-09-27,21.8,66.3
20261,수원,2021-09-28,21.6,77.9
20261,수원,2021-09-29,20.6,94.3
20261,수원,2021-09-30,20.5,84.4
20332,원주,2021-09-01,20,91
20332,원주,2021-09-02,22,71.6
20332,원주,2021-09-03,22.2,67
20332,원주,2021-09-04,20.9,63.8
20332,원주,2021-09-05,21,63.3
20332,원주,2021-09-06,21.1,67.3
20332,원주,2021-09-07,20.1,88.3
20332,원주,2021-09-08,21.6,82.3
20332,원주,2021-09-09,21.7,79.5
20332,원주,2021-09-10,22.3,75.5
